X, (x)^2 + 13
-1,14
0,13
-2,17
1,14
-3,22
2,17
-4,29
3,22
-5,38
4,29
-6,49
5,38
-7,62
6,49
-8,77
7,62
-9,94
8,77
-10,113
9,94
-11,134
10,113
-12,157
11,134
-13,182
12,157
-14,209
13,182
-15,238
14,209
-16,269
15,238
-17,302
16,269
-18,337
17,302
-19,374
18,337
-20,413
19,374
-21,454
20,413
-22,497
21,454
-23,542
22,497
-24,589
23,542
-25,638
24,589
-26,689
25,638
-27,742
26,689
-28,797
27,742
-29,854
28,797
-30,913
29,854
-31,974
30,913
-32,1037
31,974
-33,1102
32,1037
-34,1169
33,1102
-35,1238
34,1169
-36,1309
35,1238
-37,1382
36,1309
-38,1457
37,1382
-39,1534
38,1457
-40,1613
39,1534
-41,1694
40,1613
-42,1777
41,1694
-43,1862
42,1777
-44,1949
43,1862
-45,2038
44,1949
-46,2129
45,2038
-47,2222
46,2129
-48,2317
47,2222
-49,2414
48,2317
-50,2513
49,2414
-51,2614
50,2513
-52,2717
51,2614
-53,2822
52,2717
-54,2929
53,2822
-55,3038
54,2929
-56,3149
55,3038
-57,3262
56,3149
-58,3377
57,3262
-59,3494
58,3377
-60,3613
59,3494
-61,3734
60,3613
-62,3857
61,3734
-63,3982
62,3857
-64,4109
63,3982
-65,4238
64,4109
-66,4369
65,4238
-67,4502
66,4369
-68,4637
67,4502
-69,4774
68,4637
-70,4913
69,4774
-71,5054
70,4913
-72,5197
71,5054
-73,5342
72,5197
-74,5489
73,5342
-75,5638
74,5489
-76,5789
75,5638
-77,5942
76,5789
-78,6097
77,5942
-79,6254
78,6097
-80,6413
79,6254
-81,6574
80,6413
-82,6737
81,6574
-83,6902
82,6737
-84,7069
83,6902
-85,7238
84,7069
-86,7409
85,7238
-87,7582
86,7409
-88,7757
87,7582
-89,7934
88,7757
-90,8113
89,7934
-91,8294
90,8113
-92,8477
91,8294
-93,8662
92,8477
-94,8849
93,8662
-95,9038
94,8849
-96,9229
95,9038
-97,9422
96,9229
-98,9617
97,9422
-99,9814
98,9617
-100,10013
99,9814
-101,10214
100,10013
