X, (x)^2 + 13
-1,-9335
0,47343
-2,-28173
1,59340
-3,-11157
2,80564
-4,-9970
3,82732
-5,17826
4,94717
-6,43127
5,20866
-7,-19479
6,50723
-8,-38511
7,-85363
-9,73747
8,-97769
-10,-69725
9,89706
-11,-44150
10,31310
-12,-11169
11,90472
-13,93140
12,78747
-14,-48696
13,85864
-15,-97722
14,59895
-16,-89524
15,-53229
-17,-24337
16,18825
-18,-42026
17,-9402
-19,-4071
18,52248
-20,-79921
19,-1167
-21,-73485
20,-89744
-22,-54150
21,6406
-23,-85445
22,20509
-24,4699
23,-90479
-25,74421
24,-83355
-26,-24274
25,4496
-27,-55798
26,-3387
-28,-82183
27,-44005
-29,-84004
28,-70971
-30,-68885
29,-40315
-31,40384
30,-53325
-32,19552
31,-3877
-33,74502
32,-28144
-34,-71906
33,-63492
-35,79998
34,41895
-36,-70971
35,-84235
-37,93807
36,-71581
-38,-79295
37,-49707
-39,-84647
38,-5988
-40,-11509
39,75350
-41,13652
40,-3732
-42,-17048
41,-42614
-43,82866
42,29319
-44,-26885
43,-70750
-45,36043
44,-32131
-46,87795
45,-2441
-47,96124
46,-69878
-48,67354
47,-13795
-49,961
48,-81245
-50,80385
49,89045
-51,-57762
50,72595
-52,76478
51,-62662
-53,81359
52,-60324
-54,76124
53,64912
-55,43120
54,-89947
-56,-5211
55,60060
-57,-95050
56,7944
-58,9613
57,18812
-59,-4996
58,-16973
-60,98183
59,-70179
-61,-69614
60,-38024
-62,-85081
61,39193
-63,-13640
62,-46148
-64,-45157
63,-44738
-65,16816
64,94691
-66,11509
65,-20435
-67,43083
66,91876
-68,103381
67,28683
-69,103390
68,104249
-70,-47285
69,71862
-71,-88762
70,65048
-72,-11045
71,81547
-73,97948
72,-10126
-74,17644
73,62706
-75,77840
74,-59191
-76,72926
75,-20778
-77,105442
76,91319
-78,8775
77,70210
-79,-83116
78,-78321
-80,-67149
79,65959
-81,43512
80,-55734
-82,-26782
81,51946
-83,13064
82,91859
-84,-28381
83,22248
-85,10769
84,-68206
-86,71898
85,-61431
-87,-15049
86,84284
-88,-43184
87,-59055
-89,44768
88,42556
-90,-20776
89,107105
-91,-81489
90,-26238
-92,-20804
91,86915
-93,97278
92,79235
-94,-15073
93,47796
-95,-70885
94,19000
-96,47326
95,-20037
-97,86373
96,2768
-98,45072
97,97889
-99,-32439
98,28728
-100,-64710
99,93933
-101,6333
100,77057
-102,-5606
