X, (x)^2 + 13
-5.500,43.250000
0.000,13.000000
5.500,43.250000
-9.200,97.640000
-3.700,26.690000
3.700,26.690000
-1.900,16.610000
-7.400,67.760000
1.900,16.610000
9.200,97.640000
-0.100,13.010000
7.400,67.760000
-5.600,44.360000
0.100,13.010000
5.600,44.360000
-3.800,27.440000
3.800,27.440000
9.300,99.490000
-9.300,99.490000
-2.000,17.000000
-7.500,69.250000
2.000,17.000000
-0.200,13.040000
7.500,69.250000
-5.700,45.490000
0.200,13.040000
5.700,45.490000
-9.400,101.360000
-3.900,28.210000
3.900,28.210000
-2.100,17.410000
-7.600,70.760000
2.100,17.410000
9.400,101.360000
-0.300,13.090000
7.600,70.760000
-5.800,46.640000
0.300,13.090000
5.800,46.640000
-4.000,29.000000
4.000,29.000000
9.500,103.250000
-9.500,103.250000
-2.200,17.840000
2.200,17.840000
-7.700,72.290000
-0.400,13.160000
7.700,72.290000
-5.900,47.810000
0.400,13.160000
5.900,47.810000
-9.600,105.160000
-4.100,29.810000
4.100,29.810000
-2.300,18.290000
2.300,18.290000
-7.800,73.840000
9.600,105.160000
-0.500,13.250000
7.800,73.840000
-6.000,49.000000
0.500,13.250000
6.000,49.000000
-4.200,30.640000
4.200,30.640000
9.700,107.090000
-9.700,107.090000
-2.400,18.760000
2.400,18.760000
-7.900,75.410000
-0.600,13.360000
7.900,75.410000
-6.100,50.210000
0.600,13.360000
6.100,50.210000
-9.800,109.040000
-4.300,31.490000
4.300,31.490000
-2.500,19.250000
2.500,19.250000
-8.000,77.000000
9.800,109.040000
-0.700,13.490000
8.000,77.000000
-6.200,51.440000
0.700,13.490000
6.200,51.440000
-4.400,32.360000
4.400,32.360000
9.900,111.010000
-9.900,111.010000
-2.600,19.760000
2.600,19.760000
-8.100,78.610000
-0.800,13.640000
8.100,78.610000
-6.300,52.690000
0.800,13.640000
6.300,52.690000
-10.000,113.000000
-4.500,33.250000
4.500,33.250000
-2.700,20.290000
2.700,20.290000
-8.200,80.240000
-0.900,13.810000
8.200,80.240000
-6.400,53.960000
0.900,13.810000
6.400,53.960000
-4.600,34.160000
4.600,34.160000
-2.800,20.840000
2.800,20.840000
-8.300,81.890000
-1.000,14.000000
8.300,81.890000
-6.500,55.250000
1.000,14.000000
6.500,55.250000
-4.700,35.090000
4.700,35.090000
-2.900,21.410000
2.900,21.410000
-8.400,83.560000
-1.100,14.210000
8.400,83.560000
-6.600,56.560000
1.100,14.210000
6.600,56.560000
-4.800,36.040000
4.800,36.040000
-3.000,22.000000
3.000,22.000000
8.500,85.250000
-8.500,85.250000
-1.200,14.440000
-6.700,57.890000
1.200,14.440000
6.700,57.890000
-4.900,37.010000
4.900,37.010000
-8.600,86.960000
-3.100,22.610000
3.100,22.610000
-1.300,14.690000
-6.800,59.240000
1.300,14.690000
8.600,86.960000
6.800,59.240000
-5.000,38.000000
5.000,38.000000
-3.200,23.240000
3.200,23.240000
8.700,88.690000
-8.700,88.690000
-1.400,14.960000
-6.900,60.610000
1.400,14.960000
6.900,60.610000
-5.100,39.010000
5.100,39.010000
-8.800,90.440000
-3.300,23.890000
3.300,23.890000
-1.500,15.250000
-7.000,62.000000
1.500,15.250000
8.800,90.440000
7.000,62.000000
-5.200,40.040000
5.200,40.040000
-3.400,24.560000
3.400,24.560000
8.900,92.210000
-8.900,92.210000
-1.600,15.560000
-7.100,63.410000
1.600,15.560000
7.100,63.410000
-5.300,41.090000
5.300,41.090000
-9.000,94.000000
-3.500,25.250000
3.500,25.250000
-1.700,15.890000
-7.200,64.840000
1.700,15.890000
9.000,94.000000
7.200,64.840000
-5.400,42.160000
5.400,42.160000
-3.600,25.960000
3.600,25.960000
9.100,95.810000
-9.100,95.810000
-1.800,16.240000
-7.300,66.290000
1.800,16.240000
7.300,66.290000
