X, (x)^2 + 13
-1,-135204
0,-124004
-2,-74172
1,146176
-3,53225
2,41322
-4,52287
3,-100810
-5,148855
4,39796
-6,-61744
5,-88517
-7,-84632
6,-85999
-8,-132748
7,39322
-9,87072
8,-126637
-10,-16841
9,142843
-11,-18308
10,-83785
-12,-113428
11,-23109
-13,99770
12,85902
-14,100147
13,102482
-15,31183
14,-32440
-16,32060
15,-30612
-17,122986
16,-142775
-18,39630
17,-132825
-19,-143000
18,40776
-20,-82880
19,-144855
-21,72513
20,102619
-22,-71187
21,-51323
-23,24879
22,-137330
-24,143986
23,11984
-25,-70510
24,36428
-26,38824
25,-31166
-27,-147422
26,60638
-28,28179
27,-127720
-29,-36464
28,-24732
-30,86766
29,-137198
-31,96550
30,-114663
-32,-29256
31,-99276
-33,68544
32,81686
-34,-81058
33,-37756
-35,-140337
34,-61878
-36,138094
35,40548
-37,-61471
36,-141339
-38,86765
37,44383
-39,-108332
38,-93078
-40,-23380
39,138257
-41,-36392
40,45139
-42,95734
41,4343
-43,-74807
42,-84572
-44,41903
43,70694
-45,114107
44,87687
-46,110587
45,147996
-47,-79548
46,-20896
-48,-116558
47,57794
-49,-9660
48,149031
-50,-20420
49,111813
-51,91755
50,-110972
-52,62500
51,-120263
-53,73922
52,99635
-54,-72050
53,90597
-55,22599
54,10524
-56,-455
55,-58507
-57,-60758
56,-119652
-58,-84705
57,-805
-59,93651
58,-114391
-60,-101749
59,-95130
-61,-25299
60,-39037
-62,104252
61,-10735
-63,138776
62,-59541
-64,-83294
63,-11333
-65,77966
64,68880
-66,-21181
65,-26355
-67,-16443
66,-130608
-68,-2550
67,121656
-69,90322
68,144040
-70,8196
69,100648
-71,-52795
70,110698
-72,-125831
71,19898
-73,-108335
72,-80103
-74,-138111
73,41089
-75,-111974
74,-66421
-76,-143608
75,-4230
-77,-70327
76,70909
-78,3444
77,-113355
-79,-121030
78,-32138
-80,91750
79,-136137
-81,-18182
80,16236
-82,13051
81,25771
-83,-132706
82,-137072
-84,-36998
83,-42976
-85,18524
84,15303
-86,144112
85,-50929
-87,62032
86,-105125
-88,-130176
87,-49722
-89,1534
88,-117390
-90,67102
89,-118563
-91,-93267
90,33983
-92,-128414
91,-84290
-93,118281
92,-66319
-94,-133561
93,-107027
-95,-82716
94,130254
-96,-42421
95,100882
-97,36753
96,-69968
-98,-51352
97,71402
-99,34189
98,-34338
-100,74744
99,113344
-101,9343
100,-93984
-102,-31005
101,-46290
-103,-7455
102,-72427
-104,-17382
103,63294
-105,92410
104,-10998
-106,94171
105,160818
-107,14275
106,18135
-108,116766
107,-80041
-109,60000
108,64089
-110,-23402
109,-23408
-111,-127363
110,-60059
-112,-18998
111,4653
-113,59590
112,-95716
-114,-113516
113,-94176
-115,-52522
114,-67280
-116,-122677
115,81842
-117,-67850
116,106333
-118,114037
117,118150
-119,-58139
118,-1598
-120,-115387
119,60806
-121,13619
120,45473
-122,-97845
121,-46605
-123,148177
122,135252
-124,-82073
123,34738
-125,37497
124,74502
-126,54591
125,132560
-127,-84621
126,1761
-128,17486
127,-104713
-129,106928
128,111130
-130,-119686
129,134391
-131,-125151
130,151384
-132,-18770
131,-83809
-133,68382
132,-72852
-134,147899
133,147449
-135,31720
134,70585
-136,-82926
135,45944
-137,159764
136,153188
-138,42673
137,106321
-139,115679
138,34632
-140,-105853
139,-82612
-141,107248
140,-117789
-142,-60077
141,154012
-143,-114389
142,16216
-144,-80791
143,107254
-145,-83461
144,-20120
-146,59397
145,144836
-147,126373
146,-57216
-148,-116625
147,-53318
-149,-117915
148,160670
-150,27312
149,-47696
-151,120785
150,147217
-152,-77839
151,19482
-153,139147
152,90020
-154,-119306
153,46463
-155,-34008
154,12883
-156,-3545
155,102771
-157,143089
156,80333
-158,156900
157,-105897
-159,-114377
158,82590
-160,94758
159,62994
-161,-89043
160,68950
-162,112124
161,59653
-163,-77174
162,20667
-164,-97903
163,-110284
-165,-9850
164,-102231
-166,-5436
165,-26698
-167,28393
166,117725
-168,171234
167,118720
-169,-39599
168,139451
-170,125475
169,55451
-171,134626
170,-33328
-172,-74577
171,146188
-173,89493
172,-13362
-174,153056
173,-48505
-175,148281
174,158499
-176,-97330
175,26207
-177,-44852
176,-112243
-178,73890
177,-91345
-179,72894
178,90129
-180,40784
179,-60751
-181,-22519
180,5551
-182,144521
181,43276
-183,-46125
182,151765
-184,-105401
183,158310
-185,93217
184,-63359
-186,84172
185,114513
-187,81874
186,182476
-188,93608
187,142186
-189,122983
188,-11533
-190,171503
189,-8880
-191,90472
190,-8687
-192,181493
191,-55820
-193,-97650
192,-86583
-194,-66732
193,57393
-195,126659
194,-80725
-196,125825
195,-46688
-197,116362
196,104230
-198,-39012
197,-92623
-199,170588
198,162694
-200,172913
199,52427
-201,-66249
200,-62413
-202,47435
201,59709
-203,14303
202,165712
-204,24018
203,-98030
-205,87805
204,17670
-206,81948
205,188487
-207,27978
206,-48588
-208,-43729
207,53359
-209,-34277
208,55477
-210,-96912
209,20140
-211,29751
210,57144
-212,46949
211,45383
-213,180089
212,182566
-214,79387
213,46329
-215,-50279
214,102343
-216,-52153
215,17988
-217,137330
216,121903
-218,24971
217,102852
-219,-50029
218,8627
-220,42656
219,-45831
-221,-99637
220,134950
-222,146794
221,164569
-223,108162
222,13121
-224,-78142
223,148261
-225,160178
224,-83036
-226,-16189
225,-93653
-227,-20080
226,169352
-228,-80602
227,87242
-229,181870
228,148113
-230,96356
229,180009
-231,95881
230,40122
-232,190576
231,42225
-233,191996
232,181919
-234,150435
233,151292
-235,169108
234,7421
-236,89213
235,-58285
-237,113196
236,129234
-238,204171
237,-11069
-239,30736
238,-23039
-240,66486
239,-87114
-241,-79896
240,-58558
-242,21005
241,129464
-243,197641
242,108451
-244,92587
243,177800
-245,21678
244,46501
-246,30467
245,78449
-247,-55852
246,207318
-248,46821
247,147905
-249,161420
248,171083
-250,-19608
249,87399
-251,117800
250,62754
-252,155055
251,18714
-253,-66338
252,-10780
-254,14811
253,-17148
-255,104646
254,163483
-256,215392
255,107652
-257,91814
256,94102
-258,154698
257,176686
-259,140550
258,134565
-260,2214
259,125578
-261,27305
260,82174
-262,146330
261,171311
-263,47030
262,-23485
-264,-76055
263,113773
-265,-79596
264,44462
-266,179892
265,11477
-267,38507
266,178481
-268,51486
267,147322
-269,34729
268,-56750
-270,-63095
269,-77549
-271,-34720
270,16230
-272,40353
271,-24331
-273,201927
272,96608
-274,39371
273,5835
-275,168518
274,152749
-276,94323
275,-54414
-277,59989
276,183347
-278,101468
277,134241
-279,94219
278,-43687
-280,-50970
279,6139
-281,151605
280,105081
-282,88037
281,205098
-283,145793
282,95731
-284,205305
283,165581
-285,145907
284,-23502
-286,230560
285,41811
-287,209209
286,192525
-288,-51092
287,196474
-289,52386
288,47461
-290,-19530
289,-39030
-291,-54491
290,18635
-292,224365
291,113190
-293,-13966
292,113248
-294,-20296
293,180547
-295,52500
294,230768
-296,94476
295,200253
-297,100772
296,187390
-298,52401
297,72325
-299,-39324
298,223024
-300,56582
299,149330
-301,21543
300,-40008
-302,197010
301,236107
-303,-31417
302,19045
-304,186012
303,-43557
-305,-55309
304,141061
-306,-46579
305,163026
-307,1230
306,140292
-308,111362
307,212498
-309,64854
308,117917
-310,205485
309,-49241
-311,212627
310,36241
-312,182932
311,134007
-313,53667
312,188100
-314,142516
313,7833
-315,223386
314,59438
-316,53646
315,-21031
-317,178029
316,188760
-318,20661
317,36276
-319,85981
318,132467
-320,36981
319,155159
-321,61335
320,72539
-322,-24315
321,219187
-323,-42047
322,-18394
-324,8287
323,20793
-325,115431
324,179924
-326,156723
325,-2452
-327,177687
326,-30331
-328,71108
327,148539
-329,89237
328,57099
-330,221914
329,-17908
-331,247409
330,50708
-332,199822
331,-8611
-333,72134
332,244219
-334,80875
333,254404
-335,166218
334,203533
-336,-9433
335,216857
-337,184136
336,38377
-338,57514
337,222410
-339,9436
338,263109
-340,67326
339,229657
-341,65264
340,86822
-342,91720
341,75102
-343,2526
342,239708
-344,159712
343,251990
-345,207712
344,20215
-346,266315
345,-24354
-347,-28172
346,130092
-348,191518
347,31057
-349,82236
348,175543
-350,58365
349,241298
-351,162520
350,260704
-352,140969
351,-9553
-353,219612
352,123643
-354,88588
353,182968
-355,237176
354,76585
-356,256735
355,14857
-357,193102
356,239792
-358,189839
357,115753
-359,102263
358,116363
-360,250432
359,91742
-361,263968
360,94132
-362,95610
361,103475
-363,169710
362,218761
-364,157486
363,110428
-365,41400
364,40264
-366,184573
365,179289
-367,43600
366,-3911
-368,238641
367,176803
-369,14098
368,-8351
-370,45127
369,47673
-371,231942
370,8595
-372,13967
371,53044
-373,79958
372,156703
-374,81726
373,226355
-375,150570
374,271626
-376,170926
375,119363
-377,195555
376,230546
-378,139801
377,33627
-379,230127
378,86771
-380,164221
379,160692
-381,228643
380,10024
-382,88539
381,232782
-383,134
382,247376
-384,144944
383,18018
-385,175291
384,85601
-386,256647
385,18110
-387,256865
386,48271
-388,298795
387,111865
-389,253916
388,146783
-390,116933
389,181067
-391,201383
390,194074
-392,138080
391,103444
-393,33107
392,136612
-394,122134
393,202764
-395,61510
394,142609
-396,158229
395,174639
-397,193182
396,218752
-398,43782
397,125097
-399,254870
398,43349
-400,204277
399,223136
-401,207269
400,296947
-402,114374
401,215241
-403,145579
402,103257
-404,80021
403,151609
-405,210657
404,113702
-406,245897
405,246739
-407,104419
406,39373
-408,144454
407,143283
-409,167565
408,262122
-410,50006
409,169223
-411,83165
410,72876
-412,234195
411,46257
-413,151954
412,303679
-414,227648
413,161691
-415,127836
414,64621
-416,40450
415,49332
-417,89852
416,280375
-418,90546
417,71524
-419,284804
418,40333
-420,232144
419,242430
-421,260364
420,240799
-422,79207
421,303178
-423,198168
422,166371
-424,125999
423,265760
-425,73489
424,308227
-426,149167
425,290602
-427,89098
426,76611
-428,34773
427,246333
-429,153949
428,112255
-430,164025
429,143808
-431,133946
430,167955
-432,219217
431,178075
-433,201332
432,88849
-434,240433
433,223431
-435,203308
434,123820
-436,313202
435,275175
-437,175877
436,110530
-438,338365
437,171512
-439,200294
438,188955
-440,164733
439,63257
-441,294287
440,105996
-442,136058
441,229776
-443,258943
442,127013
