X, (x)^2 + 13
-1.0,11765.0
0.0,13612.0
-2.0,11068.0
1.0,16012.0
-3.0,17364.0
2.0,20822.0
-4.0,16034.0
3.0,19457.0
-5.0,13234.0
4.0,14637.0
-6.0,8693.0
5.0,5682.0
-7.0,4312.0
6.0,5439.0
-8.0,2789.0
7.0,3598.0
-9.0,5795.0
8.0,5229.0
-10.0,5687.0
9.0,7401.0
-11.0,3420.0
10.0,2105.0
-12.0,-260.0
11.0,-108.0
-13.0,-4792.0
12.0,-7104.0
-14.0,-9591.0
13.0,-11235.0
-15.0,-12263.0
14.0,-12534.0
-16.0,-15250.0
15.0,-13541.0
-17.0,-14072.0
16.0,-14009.0
-18.0,-16947.0
17.0,-17477.0
-19.0,-19811.0
18.0,-22067.0
-20.0,-25687.0
19.0,-25486.0
-21.0,-25275.0
20.0,-25483.0
-22.0,-23490.0
21.0,-22831.0
-23.0,-21724.0
22.0,-20739.0
-24.0,-23326.0
23.0,-25324.0
-25.0,-21510.0
24.0,-22529.0
-26.0,-22470.0
25.0,-24109.0
-27.0,-22188.0
26.0,-22771.0
-28.0,-24836.0
27.0,-24237.0
-29.0,-25393.0
28.0,-23626.0
-30.0,-22214.0
29.0,-18611.0
-31.0,-17127.0
30.0,-18005.0
-32.0,-16937.0
31.0,-18294.0
-33.0,-16068.0
32.0,-17032.0
-34.0,-16910.0
33.0,-16726.0
-35.0,-14088.0
34.0,-16642.0
-36.0,-15379.0
35.0,-13535.0
-37.0,-8878.0
36.0,-12546.0
-38.0,-8907.0
37.0,-6921.0
-39.0,-5263.0
38.0,-4689.0
-40.0,-2121.0
39.0,822.0
-41.0,-1951.0
40.0,-143.0
-42.0,2249.0
41.0,1604.0
-43.0,5113.0
42.0,2138.0
-44.0,3747.0
43.0,6490.0
-45.0,9833.0
44.0,7344.0
-46.0,8585.0
45.0,8493.0
-47.0,6772.0
46.0,5003.0
-48.0,7370.0
47.0,6583.0
-49.0,7127.0
48.0,6991.0
-50.0,11653.0
49.0,8316.0
-51.0,4629.0
50.0,5271.0
-52.0,1557.0
51.0,631.0
-53.0,1803.0
52.0,-1388.0
-54.0,-1104.0
53.0,-4170.0
-55.0,-5603.0
54.0,-4722.0
-56.0,-2541.0
55.0,-3184.0
-57.0,-3883.0
56.0,416.0
-58.0,2632.0
57.0,2982.0
-59.0,4957.0
58.0,7568.0
-60.0,6843.0
59.0,6084.0
-61.0,5576.0
60.0,8884.0
-62.0,9630.0
61.0,13891.0
-63.0,15647.0
62.0,16071.0
-64.0,18053.0
63.0,21151.0
-65.0,24758.0
64.0,23645.0
-66.0,23806.0
65.0,23661.0
-67.0,27386.0
66.0,29325.0
-68.0,28003.0
67.0,27813.0
-69.0,25692.0
68.0,21765.0
-70.0,17931.0
69.0,20964.0
-71.0,20635.0
70.0,21808.0
-72.0,19883.0
71.0,21670.0
-73.0,20189.0
72.0,20152.0
-74.0,19806.0
73.0,19961.0
-75.0,18665.0
74.0,14954.0
-76.0,17940.0
75.0,14520.0
-77.0,14436.0
76.0,13605.0
-78.0,9941.0
77.0,7846.0
-79.0,6738.0
78.0,9341.0
-80.0,10441.0
79.0,14509.0
-81.0,10755.0
80.0,8813.0
-82.0,9348.0
81.0,11864.0
-83.0,12731.0
82.0,14163.0
-84.0,11408.0
83.0,13062.0
-85.0,10622.0
84.0,10626.0
-86.0,13339.0
85.0,10984.0
-87.0,14503.0
86.0,14939.0
-88.0,14015.0
87.0,17555.0
-89.0,18441.0
88.0,18336.0
-90.0,15939.0
89.0,18871.0
-91.0,16519.0
90.0,20527.0
-92.0,21316.0
91.0,22976.0
-93.0,23423.0
92.0,21041.0
-94.0,21873.0
93.0,21074.0
-95.0,20166.0
94.0,21532.0
-96.0,19707.0
95.0,18408.0
-97.0,18795.0
96.0,17996.0
-98.0,17192.0
97.0,14414.0
-99.0,12995.0
98.0,12815.0
-100.0,14345.0
99.0,16570.0
-101.0,15488.0
100.0,14095.0
-102.0,14283.0
101.0,15215.0
-103.0,14952.0
102.0,13613.0
-104.0,11913.0
103.0,10716.0
-105.0,11311.0
104.0,8915.0
-106.0,10132.0
105.0,9628.0
-107.0,12311.0
106.0,14296.0
-108.0,12177.0
107.0,13459.0
-109.0,17612.0
108.0,15723.0
-110.0,19027.0
109.0,18690.0
-111.0,20314.0
110.0,21255.0
-112.0,22657.0
111.0,21588.0
-113.0,21371.0
112.0,20021.0
-114.0,19733.0
113.0,19906.0
-115.0,17511.0
114.0,19212.0
-116.0,22929.0
115.0,21423.0
-117.0,26267.0
116.0,23591.0
-118.0,23645.0
117.0,26321.0
-119.0,28483.0
118.0,27027.0
-120.0,28602.0
119.0,25217.0
-121.0,23722.0
120.0,20608.0
-122.0,19574.0
121.0,21009.0
-123.0,22223.0
122.0,23932.0
-124.0,26134.0
123.0,27066.0
-125.0,30055.0
124.0,31592.0
-126.0,29412.0
125.0,26626.0
-127.0,30283.0
126.0,29529.0
-128.0,28693.0
127.0,28636.0
-129.0,27364.0
128.0,23531.0
-130.0,21290.0
129.0,19710.0
-131.0,22752.0
130.0,22613.0
-132.0,23472.0
131.0,21514.0
-133.0,19949.0
132.0,18918.0
-134.0,15337.0
133.0,11993.0
-135.0,9672.0
134.0,7929.0
-136.0,5202.0
135.0,5790.0
-137.0,8085.0
136.0,4676.0
-138.0,3296.0
137.0,3629.0
-139.0,2600.0
138.0,3894.0
-140.0,3283.0
139.0,5657.0
-141.0,6284.0
140.0,6526.0
-142.0,5019.0
141.0,6280.0
-143.0,6413.0
142.0,6597.0
-144.0,5604.0
143.0,8317.0
-145.0,8869.0
144.0,12189.0
-146.0,15561.0
145.0,16089.0
-147.0,19532.0
146.0,20128.0
-148.0,23209.0
147.0,21287.0
-149.0,24930.0
148.0,26228.0
-150.0,23841.0
149.0,28836.0
-151.0,30358.0
150.0,33361.0
-152.0,30539.0
151.0,31035.0
-153.0,31720.0
152.0,34900.0
-154.0,35760.0
153.0,38642.0
-155.0,37644.0
154.0,41392.0
-156.0,38109.0
155.0,37799.0
-157.0,41356.0
156.0,39438.0
-158.0,36714.0
157.0,33094.0
-159.0,33629.0
158.0,30714.0
-160.0,31946.0
159.0,35480.0
-161.0,31976.0
160.0,28058.0
-162.0,25696.0
161.0,29259.0
-163.0,32669.0
162.0,30669.0
-164.0,27422.0
163.0,29361.0
-165.0,26148.0
164.0,28785.0
-166.0,25303.0
165.0,24445.0
-167.0,21645.0
166.0,18531.0
-168.0,19618.0
167.0,20716.0
-169.0,22757.0
168.0,26657.0
-170.0,25704.0
169.0,21297.0
-171.0,20933.0
170.0,23314.0
-172.0,23815.0
171.0,26031.0
-173.0,22925.0
172.0,22025.0
-174.0,21742.0
173.0,23222.0
-175.0,20183.0
174.0,21457.0
-176.0,20135.0
175.0,21535.0
-177.0,24624.0
176.0,26696.0
-178.0,28455.0
177.0,28511.0
-179.0,27896.0
178.0,28691.0
-180.0,27580.0
179.0,31275.0
-181.0,32713.0
180.0,31950.0
-182.0,31779.0
181.0,35498.0
-183.0,32956.0
182.0,33889.0
-184.0,34654.0
183.0,38632.0
-185.0,40278.0
184.0,42931.0
-186.0,44923.0
185.0,43793.0
-187.0,46165.0
186.0,45021.0
-188.0,42708.0
187.0,45864.0
-189.0,45443.0
188.0,49861.0
-190.0,49856.0
189.0,48791.0
-191.0,45601.0
190.0,49287.0
-192.0,51329.0
191.0,53292.0
-193.0,50619.0
192.0,51127.0
-194.0,51192.0
193.0,49463.0
-195.0,45225.0
194.0,46012.0
-196.0,47451.0
195.0,46453.0
-197.0,48374.0
196.0,48721.0
-198.0,49796.0
197.0,52968.0
-199.0,51270.0
198.0,50606.0
-200.0,47064.0
199.0,48237.0
-201.0,49004.0
200.0,49570.0
-202.0,48967.0
201.0,48712.0
-203.0,48035.0
202.0,47242.0
-204.0,47775.0
203.0,50791.0
-205.0,52593.0
204.0,55213.0
-206.0,51749.0
205.0,50064.0
-207.0,48383.0
206.0,47289.0
-208.0,48121.0
207.0,49476.0
-209.0,46894.0
208.0,45561.0
-210.0,44023.0
209.0,47663.0
-211.0,44423.0
210.0,44785.0
-212.0,46914.0
211.0,47412.0
-213.0,45007.0
212.0,44808.0
-214.0,48188.0
213.0,49869.0
-215.0,48438.0
214.0,46460.0
-216.0,44839.0
215.0,47874.0
-217.0,47079.0
216.0,50658.0
-218.0,53321.0
217.0,49973.0
-219.0,48807.0
218.0,51884.0
-220.0,55466.0
219.0,57651.0
-221.0,56003.0
220.0,57224.0
-222.0,55293.0
221.0,57189.0
-223.0,54525.0
222.0,55655.0
-224.0,53374.0
223.0,51086.0
-225.0,51925.0
224.0,53606.0
-226.0,57484.0
225.0,58937.0
-227.0,59944.0
226.0,62528.0
-228.0,62252.0
227.0,58383.0
-229.0,58679.0
228.0,56829.0
-230.0,54131.0
229.0,51298.0
-231.0,50244.0
230.0,48889.0
-232.0,51115.0
231.0,52778.0
-233.0,51959.0
232.0,53403.0
-234.0,53596.0
233.0,54740.0
-235.0,58695.0
234.0,56777.0
-236.0,56361.0
235.0,55599.0
-237.0,53671.0
236.0,50528.0
-238.0,46160.0
237.0,46150.0
-239.0,48578.0
238.0,49980.0
-240.0,51857.0
239.0,55275.0
-241.0,55903.0
240.0,58332.0
-242.0,60233.0
241.0,61262.0
-243.0,62684.0
242.0,63824.0
-244.0,62648.0
243.0,64301.0
-245.0,66168.0
244.0,62644.0
-246.0,62190.0
245.0,61039.0
-247.0,58474.0
246.0,59183.0
-248.0,61763.0
247.0,63196.0
-249.0,62628.0
248.0,64282.0
-250.0,63537.0
249.0,66471.0
-251.0,66518.0
250.0,66182.0
-252.0,64373.0
251.0,64283.0
-253.0,64898.0
252.0,65077.0
-254.0,65702.0
253.0,65166.0
-255.0,64483.0
254.0,61846.0
-256.0,64175.0
255.0,64951.0
-257.0,65658.0
256.0,66894.0
-258.0,66802.0
257.0,67878.0
-259.0,71520.0
258.0,71414.0
-260.0,68359.0
259.0,71354.0
-261.0,72051.0
260.0,71760.0
-262.0,71502.0
261.0,73417.0
-263.0,72285.0
262.0,71122.0
-264.0,71375.0
263.0,67007.0
-265.0,69802.0
264.0,69643.0
-266.0,71483.0
265.0,71191.0
-267.0,74558.0
266.0,73927.0
-268.0,74002.0
267.0,78434.0
-269.0,77814.0
268.0,76162.0
-270.0,78630.0
269.0,80054.0
-271.0,79765.0
270.0,75332.0
-272.0,75729.0
271.0,78456.0
-273.0,79610.0
272.0,82386.0
-274.0,83999.0
273.0,85892.0
-275.0,88907.0
274.0,88759.0
-276.0,86947.0
275.0,87301.0
-277.0,88525.0
276.0,87268.0
-278.0,89596.0
277.0,88617.0
-279.0,86001.0
278.0,84806.0
-280.0,83606.0
279.0,83825.0
-281.0,84988.0
280.0,84261.0
-282.0,87021.0
281.0,84166.0
-283.0,81273.0
282.0,79236.0
-284.0,78157.0
283.0,78747.0
-285.0,78485.0
284.0,78354.0
-286.0,76296.0
285.0,79441.0
-287.0,78025.0
286.0,79306.0
-288.0,78162.0
287.0,75376.0
-289.0,75352.0
288.0,78666.0
-290.0,78547.0
289.0,79738.0
-291.0,78269.0
290.0,77190.0
-292.0,75765.0
291.0,77476.0
-293.0,81629.0
292.0,85185.0
-294.0,86325.0
293.0,85769.0
-295.0,85936.0
294.0,85921.0
-296.0,87532.0
295.0,89021.0
-297.0,88532.0
296.0,89703.0
-298.0,87697.0
297.0,89210.0
-299.0,90772.0
298.0,93498.0
-300.0,94269.0
299.0,96090.0
-301.0,98937.0
300.0,99103.0
-302.0,98110.0
301.0,99782.0
-303.0,97241.0
302.0,96455.0
-304.0,94440.0
303.0,96688.0
-305.0,97732.0
304.0,95385.0
-306.0,92922.0
305.0,89847.0
-307.0,92786.0
306.0,91427.0
-308.0,91841.0
307.0,90757.0
-309.0,89625.0
308.0,89089.0
-310.0,87707.0
309.0,86017.0
-311.0,87737.0
310.0,85795.0
-312.0,86675.0
311.0,90393.0
-313.0,91091.0
312.0,93867.0
-314.0,91847.0
313.0,94373.0
-315.0,94263.0
314.0,95671.0
-316.0,94227.0
315.0,97799.0
-317.0,100690.0
316.0,101029.0
-318.0,101308.0
317.0,102732.0
-319.0,104759.0
318.0,104486.0
-320.0,105924.0
319.0,109846.0
-321.0,108355.0
320.0,107635.0
-322.0,106620.0
321.0,107759.0
-323.0,106011.0
322.0,104469.0
-324.0,103961.0
323.0,107884.0
-325.0,106935.0
324.0,104844.0
-326.0,103138.0
325.0,103758.0
-327.0,103425.0
326.0,105363.0
-328.0,105779.0
327.0,105215.0
-329.0,104707.0
328.0,106639.0
-330.0,106218.0
329.0,106316.0
-331.0,105687.0
330.0,109569.0
