X, (x)^2 + 13
1,152
2,282
3,978
4,254
5,931
6,798
7,339
8,537
9,493
10,404
11,567
12,1090
13,594
14,822
15,944
16,463
17,1114
18,804
19,695
20,957
21,1063
22,1092
23,566
24,1222
25,1210
26,893
27,858
28,1522
29,1617
30,1087
31,1117
32,1927
33,1952
34,1696
35,1446
36,2127
37,1571
38,2046
39,1991
40,2216
41,1767
42,2682
43,2738
44,2601
45,2473
46,2308
47,3151
48,3128
49,2978
50,2950
51,3564
52,3612
53,2864
54,3090
55,3484
56,3264
57,3502
58,3741
59,4120
60,3854
61,3883
62,4289
63,4520
64,4118
65,4500
66,4489
67,4685
68,5559
69,5266
70,5138
71,5886
72,5734
73,6181
74,5852
75,6221
76,6147
77,6562
78,6797
79,7114
80,7070
81,7181
82,7448
83,7094
84,7972
85,7584
86,8214
87,7646
88,8729
89,8174
90,8239
91,8400
92,8502
93,9422
94,9836
95,9171
96,9938
97,9669
98,9769
99,10653
100,10391
