Date,Net Worth
2019-04-15,14986.0
2019-04-22,20167.0
2019-04-29,25417.0
2019-05-06,29420.0
2019-05-13,34024.0
2019-05-20,38972.0
2019-05-27,43006.0
2019-06-03,49640.0
2019-06-10,52242.0
2019-06-17,60842.0
2019-06-24,65499.0
2019-07-01,72414.0
2019-07-08,76119.0
2019-07-15,70686.0
2019-07-22,74681.0
2019-07-29,71406.0
2019-08-05,69494.0
2019-08-12,68309.0
2019-08-19,66114.0
2019-08-26,66561.0
2019-09-02,65869.0
2019-09-09,66638.0
2019-09-16,62117.0
2019-09-23,60635.0
2019-09-30,62511.0
2019-10-07,64470.0
2019-10-14,62996.0
2019-10-21,63290.0
2019-10-28,65220.0
2019-11-04,66140.0
2019-11-11,66808.0
2019-11-18,69793.0
2019-11-25,70601.0
2019-12-02,69188.0
2019-12-09,67479.0
2019-12-16,74898.0
2019-12-23,73389.0
2019-12-30,72772.0
2020-01-06,73381.0
2020-01-13,75433.0
2020-01-20,78039.0
2020-01-27,76480.0
2020-02-03,80669.0
2020-02-10,83302.0
2020-02-17,83238.0
2020-02-24,81105.0
2020-03-02,81094.0
2020-03-09,74782.0
2020-03-16,74111.0
2020-03-23,78804.0
2020-03-30,79701.0
2020-04-06,81432.0
2020-04-13,91525.0
2020-04-20,91917.0
2020-04-27,90039.0
2020-05-04,93957.0
2020-05-11,97559.0
2020-05-18,92754.0
2020-05-25,90901.0
2020-06-01,90876.0
2020-06-08,90580.0
2020-06-15,97468.0
2020-06-22,95474.0
2020-06-29,101944.0
2020-07-06,115824.0
2020-07-13,105055.0
2020-07-20,103359.0
2020-07-27,104499.0
2020-08-03,105290.0
2020-08-10,103661.0
2020-08-17,104963.0
2020-08-24,109234.0
2020-08-31,108174.0
2020-09-07,103573.0
2020-09-14,101940.0
2020-09-21,103688.0
2020-09-28,106417.0
2020-10-05,111337.0
2020-10-12,110167.0
2020-10-19,104418.0
2020-10-26,102722.0
2020-11-02,107995.0
2020-11-09,103682.0
2020-11-16,104413.0
2020-11-23,104835.0
2020-11-30,105774.0
2020-12-07,106439.0
2020-12-14,110662.0
2020-12-21,107892.0
2020-12-28,111511.0
2021-01-04,107410.0
2021-01-11,105730.0
2021-01-18,114817.0
2021-01-25,110384.0
2021-02-01,112872.0
2021-02-08,113647.0
2021-02-15,111443.0
2021-02-22,111257.0
2021-03-01,108220.0
2021-03-08,108440.0
2021-03-15,107650.0
2021-03-22,107092.0
2021-03-29,111334.0
2021-04-05,113483.0
2021-04-12,112297.0
2021-04-19,106754.0
2021-04-26,107825.0
2021-05-03,106522.0
2021-05-10,105106.0
2021-05-17,105718.0
2021-05-24,106383.0
2021-05-31,105292.0
2021-06-07,104484.0
2021-06-14,106107.0
2021-06-21,109664.0
2021-06-28,110599.0
2021-07-05,110869.0
2021-07-12,110102.0
2021-07-19,108087.0
2021-07-26,108379.0
2021-08-02,108782.0
2021-08-09,108156.0
2021-08-16,112343.0
2021-08-23,113972.0
2021-08-30,118247.0
2021-09-06,119354.0
2021-09-13,118467.0
2021-09-20,118669.0
2021-09-27,120044.0
2021-10-04,121337.0
2021-10-11,121048.0
2021-10-18,123466.0
2021-10-25,125158.0
2021-11-01,123089.0
2021-11-08,124287.0
2021-11-15,124163.0
2021-11-22,123736.0
2021-11-29,121674.0
2021-12-06,121983.0
2021-12-13,121174.0
2021-12-20,122062.0
2021-12-27,121684.0
2022-01-03,119691.0
2022-01-10,119192.0
2022-01-17,115029.0
2022-01-24,114602.0
2022-01-31,166377.0
2022-02-07,163417.0
2022-02-14,214282.0
2022-02-21,264944.0
2022-02-28,303531.0
2022-03-07,342227.0
2022-03-14,421316.0
2022-03-21,415641.0
2022-03-28,465842.0
2022-04-04,499114.0
2022-04-11,482615.0
2022-04-18,342110.0
2022-04-25,313967.0
2022-05-02,303464.0
2022-05-09,361173.0
2022-05-16,409496.0
2022-05-23,474144.0
2022-05-30,531272.0
2022-06-06,496505.0
2022-06-13,480401.0
2022-06-20,563381.0
2022-06-27,586486.0
2022-07-04,654970.0
2022-07-11,710630.0
2022-07-18,861208.0
2022-07-25,876635.0
2022-08-01,883138.0
2022-08-08,961036.0
2022-08-15,932880.0
2022-08-22,871032.0
2022-08-29,880821.0
2022-09-05,906625.0
2022-09-12,929317.0
2022-09-19,881859.0
2022-09-26,913094.0
2022-10-03,876117.0
2022-10-10,894277.0
2022-10-17,1100332.0
2022-10-24,1121605.0
2022-10-31,1000781.0
2022-11-07,1102269.0
2022-11-14,1094832.0
2022-11-21,1086392.0
2022-11-28,1207009.0
2022-12-05,1205626.0
2022-12-12,1104276.0
2022-12-19,1118976.0
2022-12-26,1118700.0
2023-01-02,1190198.0
2023-01-09,1249936.0
2023-01-16,1283420.0
2023-01-23,1346617.0
2023-01-30,1364362.0
2023-02-06,1300231.0
2023-02-13,1301684.0
2023-02-20,1227082.0
2023-02-27,1222312.0
2023-03-06,1168026.0
2023-03-13,1194031.0
2023-03-20,1254298.0
2023-03-27,1295679.0
2023-04-03,1280787.0
2023-04-10,1279093.0
2023-04-17,1253305.0
2023-04-24,1258027.0
2023-05-01,1240666.0
2023-05-08,1282143.0
2023-05-15,1343815.0
2023-05-22,1376551.0
2023-05-29,1428828.0
2023-06-05,1476165.0
2023-06-12,1505076.0
2023-06-19,1491618.0
2023-06-26,1511159.0
2023-07-03,1508323.0
2023-07-10,1512844.0
2023-07-17,1500876.0
2023-07-24,1499876.0
2023-07-31,1502244.0
2023-08-07,1498199.0
2023-08-14,1493319.0
2023-08-21,1496595.0
2023-08-28,1503390.0
2023-09-04,1504221.0
2023-09-11,1491157.0
2023-09-18,1486278.0
2023-09-25,1485648.0
2023-10-02,1486762.0
2023-10-09,1479404.0
2023-10-16,1492303.0
2023-10-23,1491422.0
2023-10-30,1501247.0
2023-11-06,1505486.0
2023-11-13,1510805.0
2023-11-20,1514693.0
2023-11-27,1510756.0
2023-12-04,1507344.0
2023-12-11,1512557.0
2023-12-18,1516744.0
2023-12-25,1516778.0
2024-01-01,1513126.0
2024-01-08,1518282.0
2024-01-15,1515659.0
2024-01-22,1533101.0
2024-01-29,1531948.0
2024-02-05,1531485.0
2024-02-12,1534644.0
2024-02-19,1534589.0
2024-02-26,1539584.0
2024-03-04,1537557.0
2024-03-11,1537661.0
2024-03-18,1539174.0
2024-03-25,1537760.0
2024-04-01,1539141.0
2024-04-08,1538502.0
2024-04-15,1538195.0
2024-04-18,1538091.0
