Date,RSI,Moving Average
2019-04-15,0.0,0.0
2019-04-22,0.0,0.0
2019-04-29,0.0,0.0
2019-05-06,0.0,0.0
2019-05-13,0.0,0.0
2019-05-20,0.0,0.0
2019-05-27,0.0,0.0
2019-06-03,0.0,0.0
2019-06-10,0.0,0.0
2019-06-17,0.0,0.0
2019-06-24,0.0,4.387
2019-07-01,0.0,8.963
2019-07-08,0.0,12.906
2019-07-15,0.0,17.109
2019-07-22,39.487,21.322
2019-07-29,41.176,25.322
2019-08-05,35.493,29.605
2019-08-12,37.829,33.217
2019-08-19,37.91,37.403
2019-08-26,36.006,35.513
2019-09-02,38.541,33.357
2019-09-09,32.509,31.664
2019-09-16,37.677,30.288
2019-09-23,22.476,29.975
2019-09-30,21.772,28.663
2019-10-07,20.252,28.279
2019-10-14,25.451,29.278
2019-10-21,35.087,30.214
2019-10-28,24.204,34.293
2019-11-04,35.082,38.531
2019-11-11,41.505,42.71
2019-11-18,46.096,45.65
2019-11-25,59.189,50.154
2019-12-02,59.913,55.859
2019-12-09,57.866,59.921
2019-12-16,51.907,63.08
2019-12-23,75.626,66.526
2019-12-30,75.544,68.751
2020-01-06,71.644,70.165
2020-01-13,69.931,72.159
2020-01-20,77.117,74.991
2020-01-27,79.213,74.891
2020-02-03,72.635,74.1
2020-02-10,75.814,74.134
2020-02-17,77.392,73.199
2020-02-24,74.728,70.011
2020-03-02,68.422,67.834
2020-03-09,71.957,66.673
2020-03-16,61.515,65.319
2020-03-23,48.425,64.653
2020-03-30,59.62,64.085
2020-04-06,62.186,64.148
2020-04-13,63.622,63.793
2020-04-20,71.404,64.689
2020-04-27,69.614,66.149
2020-05-04,68.992,66.413
2020-05-11,68.755,66.388
2020-05-18,69.586,67.393
2020-05-25,61.566,68.174
2020-06-01,61.988,68.409
2020-06-08,61.968,69.11
2020-06-15,72.665,70.433
2020-06-22,78.435,69.581
2020-06-29,71.722,69.308
2020-07-06,75.309,69.325
2020-07-13,80.656,69.135
2020-07-20,61.917,67.178
2020-07-27,59.112,65.33
2020-08-03,62.145,64.92
2020-08-10,60.252,63.915
2020-08-17,55.051,61.589
2020-08-24,61.805,60.56
2020-08-31,68.034,60.26
2020-09-07,66.265,59.404
2020-09-14,59.721,58.066
2020-09-21,52.659,58.494
2020-09-28,56.409,57.362
2020-10-05,54.44,55.062
2020-10-12,48.208,53.653
2020-10-19,58.909,52.576
2020-10-26,51.617,52.204
2020-11-02,47.332,50.813
2020-11-09,53.58,49.949
2020-11-16,50.027,50.646
2020-11-23,49.31,51.057
2020-11-30,43.897,51.534
2020-12-07,46.661,52.606
2020-12-14,54.48,51.596
2020-12-21,62.612,50.912
2020-12-28,55.905,52.451
2021-01-04,56.981,54.136
2021-01-11,44.495,55.193
2021-01-18,43.868,56.236
2021-01-25,63.157,55.879
