Date,Net Worth
2019-04-22,14905.0
2019-04-29,19883.0
2019-05-06,24575.0
2019-05-13,29023.0
2019-05-20,33559.0
2019-05-27,37103.0
2019-06-03,43206.0
2019-06-10,48183.0
2019-06-17,52635.0
2019-06-24,58977.0
2019-07-01,63913.0
2019-07-08,68882.0
2019-07-15,71863.0
2019-07-22,76911.0
2019-07-29,75215.0
2019-08-05,74113.0
2019-08-12,71253.0
2019-08-19,69817.0
2019-08-26,72132.0
2019-09-02,73828.0
2019-09-09,78074.0
2019-09-16,76849.0
2019-09-23,76118.0
2019-09-30,74336.0
2019-10-07,75598.0
2019-10-14,77220.0
2019-10-21,77369.0
2019-10-28,79795.0
2019-11-04,82097.0
2019-11-11,85687.0
2019-11-18,83781.0
2019-11-25,82543.0
2019-12-02,81342.0
2019-12-09,80414.0
2019-12-16,81045.0
2019-12-23,81825.0
2019-12-30,81899.0
2020-01-06,75883.0
2020-01-13,76118.0
2020-01-20,73184.0
2020-01-27,71711.0
2020-02-03,74670.0
2020-02-10,74187.0
2020-02-17,72454.0
2020-02-24,65410.0
2020-03-02,75585.0
2020-03-09,69862.0
2020-03-16,70167.0
2020-03-23,66961.0
2020-03-30,62616.0
2020-04-06,66934.0
2020-04-13,67623.0
2020-04-20,66617.0
2020-04-27,63861.0
2020-05-04,63874.0
2020-05-11,59543.0
2020-05-18,61132.0
2020-05-25,65557.0
2020-06-01,68749.0
2020-06-08,63517.0
2020-06-15,67133.0
2020-06-22,63212.0
2020-06-29,64285.0
2020-07-06,61821.0
2020-07-13,63543.0
2020-07-20,62338.0
2020-07-27,62603.0
2020-08-03,63676.0
2020-08-10,64192.0
2020-08-17,60947.0
2020-08-24,60020.0
2020-08-31,57543.0
2020-09-07,54641.0
2020-09-14,57596.0
2020-09-21,55608.0
2020-09-28,56059.0
2020-10-05,56814.0
2020-10-12,58231.0
2020-10-19,59066.0
2020-10-26,53767.0
2020-11-02,58099.0
2020-11-09,65252.0
2020-11-16,58390.0
2020-11-23,60338.0
2020-11-30,66179.0
2020-12-07,63689.0
2020-12-14,62576.0
2020-12-21,61159.0
2020-12-28,61503.0
2021-01-04,68564.0
2021-01-11,73478.0
2021-01-18,71531.0
2021-01-25,75240.0
2021-02-01,74657.0
2021-02-08,75412.0
2021-02-15,73399.0
2021-02-22,72167.0
2021-03-01,71200.0
2021-03-08,79161.0
2021-03-15,78274.0
2021-03-22,77598.0
2021-03-29,81201.0
2021-04-05,80446.0
2021-04-12,79280.0
2021-04-19,78909.0
2021-04-26,79015.0
2021-05-03,80910.0
2021-05-10,81148.0
2021-05-17,81373.0
2021-05-24,78433.0
2021-05-31,81334.0
2021-06-07,81943.0
2021-06-14,76022.0
2021-06-21,77770.0
2021-06-28,72485.0
2021-07-05,71478.0
2021-07-12,69637.0
2021-07-19,70312.0
2021-07-26,71134.0
2021-08-02,71067.0
2021-08-09,73968.0
2021-08-16,72657.0
2021-08-23,72895.0
2021-08-30,76618.0
2021-09-06,74180.0
2021-09-13,74406.0
2021-09-20,72670.0
2021-09-27,70670.0
2021-10-04,71438.0
2021-10-11,73478.0
2021-10-18,73584.0
2021-10-25,70961.0
2021-11-01,75174.0
2021-11-08,74300.0
2021-11-15,70908.0
2021-11-22,69478.0
2021-11-29,70312.0
2021-12-06,74247.0
2021-12-13,73386.0
2021-12-20,75545.0
2021-12-27,77770.0
2022-01-03,79996.0
2022-01-10,80605.0
2022-01-17,78221.0
2022-01-24,75518.0
2022-01-31,73054.0
2022-02-07,73187.0
2022-02-14,70418.0
2022-02-21,69875.0
2022-02-28,71889.0
2022-03-07,71518.0
2022-03-14,71412.0
2022-03-21,71094.0
2022-03-28,66775.0
2022-04-04,68842.0
2022-04-11,68034.0
2022-04-18,69001.0
2022-04-25,64841.0
2022-05-02,66948.0
2022-05-09,66365.0
2022-05-16,62934.0
2022-05-23,66577.0
2022-05-30,65822.0
2022-06-06,63702.0
2022-06-13,60761.0
2022-06-20,63848.0
2022-06-27,59755.0
2022-07-04,58417.0
2022-07-11,59053.0
2022-07-18,59887.0
2022-07-25,61159.0
2022-08-01,60324.0
2022-08-08,62444.0
2022-08-15,59304.0
2022-08-22,56364.0
2022-08-29,55397.0
2022-09-05,56681.0
2022-09-12,54072.0
2022-09-19,52164.0
2022-09-26,50270.0
2022-10-03,49104.0
2022-10-10,52707.0
2022-10-17,54112.0
2022-10-24,57132.0
2022-10-31,57781.0
2022-11-07,63331.0
2022-11-14,61331.0
2022-11-21,63861.0
2022-11-28,63623.0
2022-12-05,62232.0
2022-12-12,60404.0
2022-12-19,59847.0
2022-12-26,58165.0
2023-01-02,57172.0
2023-01-09,57397.0
2023-01-16,56205.0
2023-01-23,57913.0
2023-01-30,57807.0
2023-02-06,57092.0
2023-02-13,57370.0
2023-02-20,56099.0
2023-02-27,60700.0
2023-03-06,56611.0
2023-03-13,60253.0
2023-03-20,64006.0
2023-03-27,71237.0
2023-04-03,73426.0
2023-04-10,72587.0
2023-04-17,72496.0
2023-04-24,72459.0
2023-05-01,66842.0
2023-05-08,64836.0
2023-05-15,65219.0
2023-05-22,62903.0
2023-05-29,65055.0
2023-06-05,65475.0
2023-06-12,67754.0
2023-06-19,65438.0
2023-06-26,60131.0
2023-07-03,61244.0
2023-07-10,61426.0
2023-07-17,63724.0
2023-07-24,62520.0
2023-07-31,62630.0
2023-08-07,61700.0
2023-08-14,56575.0
2023-08-21,54241.0
2023-08-28,50904.0
2023-09-04,48278.0
2023-09-11,49062.0
2023-09-18,50586.0
2023-09-25,56657.0
2023-10-02,55713.0
2023-10-09,58876.0
2023-10-16,54504.0
2023-10-23,57958.0
2023-10-30,60268.0
2023-11-06,57053.0
2023-11-13,58148.0
2023-11-20,57267.0
2023-11-27,57124.0
2023-12-04,62768.0
2023-12-11,67626.0
2023-12-18,70055.0
2023-12-25,69793.0
2024-01-01,67173.0
2024-01-08,63030.0
2024-01-15,60006.0
2024-01-22,62030.0
2024-01-29,61530.0
2024-02-05,60577.0
2024-02-12,59958.0
2024-02-19,59363.0
2024-02-26,58791.0
2024-03-04,58006.0
2024-03-11,57196.0
2024-03-18,56624.0
2024-03-25,62901.0
2024-04-01,56356.0
2024-04-08,53083.0
2024-04-15,54080.0
2024-04-22,52444.0
2024-04-25,55954.0
