Date,Net Worth
2019-04-22,14905.0
2019-04-29,19883.0
2019-05-06,24575.0
2019-05-13,29023.0
2019-05-20,33559.0
2019-05-27,37103.0
2019-06-03,43206.0
2019-06-10,48183.0
2019-06-17,52635.0
2019-06-24,58977.0
2019-07-01,63913.0
2019-07-08,68882.0
2019-07-15,71863.0
2019-07-22,76911.0
2019-07-29,75215.0
2019-08-05,74113.0
2019-08-12,71253.0
2019-08-19,69817.0
2019-08-26,72132.0
2019-09-02,73828.0
2019-09-09,78074.0
2019-09-16,76849.0
2019-09-23,76118.0
2019-09-30,74336.0
2019-10-07,75598.0
2019-10-14,77220.0
2019-10-21,77369.0
2019-10-28,79795.0
2019-11-04,82097.0
2019-11-11,85687.0
2019-11-18,83781.0
2019-11-25,82914.0
2019-12-02,82326.0
2019-12-09,82008.0
2019-12-16,82224.0
2019-12-23,82492.0
2019-12-30,82517.0
2020-01-06,80454.0
2020-01-13,80510.0
2020-01-20,79806.0
2020-01-27,79452.0
2020-02-03,80162.0
2020-02-10,80046.0
2020-02-17,111174.0
2020-02-24,137085.0
2020-03-02,175658.0
2020-03-09,165971.0
2020-03-16,197011.0
2020-03-23,220117.0
2020-03-30,238017.0
2020-04-06,281697.0
2020-04-13,284323.0
2020-04-20,280485.0
2020-04-27,269980.0
2020-05-04,270031.0
2020-05-11,253516.0
2020-05-18,288617.0
2020-05-25,307998.0
2020-06-01,321982.0
2020-06-08,299061.0
2020-06-15,314903.0
2020-06-22,297727.0
2020-06-29,302427.0
2020-07-06,291634.0
2020-07-13,299178.0
2020-07-20,293897.0
2020-07-27,295058.0
2020-08-03,299758.0
2020-08-10,302021.0
2020-08-17,287804.0
2020-08-24,283743.0
2020-08-31,272892.0
2020-09-07,288752.0
2020-09-14,303583.0
2020-09-21,293607.0
2020-09-28,295868.0
2020-10-05,299659.0
2020-10-12,306775.0
2020-10-19,310965.0
2020-10-26,284363.0
2020-11-02,306110.0
2020-11-09,342022.0
2020-11-16,307573.0
2020-11-23,317349.0
2020-11-30,346677.0
2020-12-07,334174.0
2020-12-14,328588.0
2020-12-21,321472.0
2020-12-28,323201.0
2021-01-04,358648.0
2021-01-11,383320.0
2021-01-18,373544.0
2021-01-25,392165.0
2021-02-01,389239.0
2021-02-08,391893.0
2021-02-15,384817.0
2021-02-22,380487.0
2021-03-01,378109.0
2021-03-08,397693.0
2021-03-15,395510.0
2021-03-22,394347.0
2021-03-29,398690.0
2021-04-05,398053.0
2021-04-12,397364.0
2021-04-19,397145.0
2021-04-26,397208.0
2021-05-03,398326.0
2021-05-10,398467.0
2021-05-17,398600.0
2021-05-24,396863.0
2021-05-31,398577.0
2021-06-07,398937.0
2021-06-14,396489.0
2021-06-21,397212.0
2021-06-28,395026.0
2021-07-05,394610.0
2021-07-12,393849.0
2021-07-19,394128.0
2021-07-26,394468.0
2021-08-02,394440.0
2021-08-09,576222.0
2021-08-16,571978.0
2021-08-23,572750.0
2021-08-30,584797.0
2021-09-06,576908.0
2021-09-13,577637.0
2021-09-20,572021.0
2021-09-27,565547.0
2021-10-04,568034.0
2021-10-11,574636.0
2021-10-18,574979.0
2021-10-25,566490.0
2021-11-01,580124.0
2021-11-08,577294.0
2021-11-15,566319.0
2021-11-22,561689.0
2021-11-29,564390.0
2021-12-06,577123.0
2021-12-13,574336.0
2021-12-20,581324.0
2021-12-27,588527.0
2022-01-03,595729.0
2022-01-10,597701.0
2022-01-17,589984.0
2022-01-24,581238.0
2022-01-31,573264.0
2022-02-07,573693.0
2022-02-14,564733.0
2022-02-21,562975.0
2022-02-28,569491.0
2022-03-07,568291.0
2022-03-14,567948.0
2022-03-21,566919.0
2022-03-28,552943.0
2022-04-04,738066.0
2022-04-11,909417.0
2022-04-18,1092932.0
2022-04-25,1214218.0
2022-05-02,1417098.0
2022-05-09,1406373.0
2022-05-16,1343240.0
2022-05-23,1410273.0
2022-05-30,1396379.0
2022-06-06,1357378.0
2022-06-13,1303264.0
2022-06-20,1360059.0
2022-06-27,1284739.0
2022-07-04,1260119.0
2022-07-11,1271820.0
2022-07-18,1287176.0
2022-07-25,1310577.0
2022-08-01,1295220.0
2022-08-08,1334221.0
2022-08-15,1276451.0
2022-08-22,1222337.0
2022-08-29,1204543.0
2022-09-05,1228188.0
2022-09-12,1180168.0
2022-09-19,1145067.0
2022-09-26,1277127.0
2022-10-03,1414949.0
2022-10-10,1673168.0
2022-10-17,1716041.0
2022-10-24,1808258.0
2022-10-31,1828076.0
2022-11-07,1997544.0
2022-11-14,1936471.0
2022-11-21,2013723.0
2022-11-28,2006443.0
2022-12-05,1963974.0
2022-12-12,1908159.0
2022-12-19,1891172.0
2022-12-26,1839805.0
2023-01-02,1809471.0
2023-01-09,1816347.0
2023-01-16,1779946.0
2023-01-23,1832121.0
2023-01-30,1828885.0
2023-02-06,1807044.0
2023-02-13,1975439.0
2023-02-20,1932319.0
2023-02-27,2102989.0
2023-03-06,2118243.0
2023-03-13,2251969.0
2023-03-20,2389930.0
2023-03-27,2658078.0
2023-04-03,2739873.0
2023-04-10,2708518.0
2023-04-17,2705110.0
2023-04-24,2703747.0
2023-05-01,2493807.0
2023-05-08,2564499.0
2023-05-15,2723189.0
2023-05-22,2765328.0
2023-05-29,3001495.0
2023-06-05,3021549.0
2023-06-12,3130538.0
2023-06-19,3019805.0
2023-06-26,2766079.0
2023-07-03,2955420.0
2023-07-10,3098456.0
2023-07-17,3352135.0
2023-07-24,3285307.0
2023-07-31,3291383.0
2023-08-07,3239743.0
2023-08-14,2955219.0
2023-08-21,2825614.0
2023-08-28,2640319.0
2023-09-04,2622390.0
2023-09-11,2793632.0
2023-09-18,2768433.0
2023-09-25,3021343.0
2023-10-02,3084212.0
2023-10-09,3386313.0
2023-10-16,3227769.0
2023-10-23,3319491.0
2023-10-30,3567902.0
2023-11-06,3466932.0
2023-11-13,3640252.0
2023-11-20,3580396.0
2023-11-27,3570690.0
2023-12-04,3954093.0
2023-12-11,4284111.0
2023-12-18,4449120.0
2023-12-25,4431325.0
2024-01-01,4253374.0
2024-01-08,3971888.0
2024-01-15,3766436.0
2024-01-22,3903943.0
2024-01-29,3869970.0
2024-02-05,3805261.0
2024-02-12,3763200.0
2024-02-19,3722757.0
2024-02-26,3683931.0
2024-03-04,3630546.0
2024-03-11,3575543.0
2024-03-18,3635387.0
2024-03-25,3917074.0
2024-04-01,3571779.0
2024-04-08,3436552.0
2024-04-15,3595994.0
2024-04-22,3562045.0
2024-04-25,3645447.0
