Date,Net Worth
2019-04-22,14905.0
2019-04-29,15022.0
2019-05-06,14959.0
2019-05-13,14851.0
2019-05-20,14803.0
2019-05-27,14573.0
2019-06-03,14822.0
2019-06-10,14879.0
2019-06-17,14868.0
2019-06-24,15078.0
2019-07-01,15127.0
2019-07-08,15179.0
2019-07-15,15056.0
2019-07-22,15114.0
2019-07-29,14984.0
2019-08-05,14900.0
2019-08-12,14681.0
2019-08-19,14571.0
2019-08-26,14748.0
2019-09-02,14878.0
2019-09-09,15202.0
2019-09-16,15109.0
2019-09-23,15053.0
2019-09-30,14917.0
2019-10-07,15013.0
2019-10-14,15137.0
2019-10-21,15149.0
2019-10-28,15334.0
2019-11-04,15510.0
2019-11-11,15784.0
2019-11-18,15639.0
2019-11-25,15544.0
2019-12-02,15452.0
2019-12-09,15381.0
2019-12-16,15430.0
2019-12-23,15489.0
2019-12-30,15495.0
2020-01-06,15035.0
2020-01-13,15053.0
2020-01-20,14829.0
2020-01-27,14716.0
2020-02-03,14942.0
2020-02-10,14905.0
2020-02-17,14773.0
2020-02-24,14235.0
2020-03-02,14684.0
2020-03-09,14275.0
2020-03-16,14297.0
2020-03-23,14068.0
2020-03-30,13758.0
2020-04-06,14066.0
2020-04-13,14115.0
2020-04-20,14044.0
2020-04-27,13847.0
2020-05-04,13848.0
2020-05-11,13538.0
2020-05-18,18479.0
2020-05-25,19213.0
2020-06-01,19743.0
2020-06-08,18875.0
2020-06-15,19475.0
2020-06-22,18824.0
2020-06-29,19002.0
2020-07-06,18594.0
2020-07-13,18879.0
2020-07-20,18679.0
2020-07-27,18723.0
2020-08-03,18901.0
2020-08-10,18987.0
2020-08-17,18449.0
2020-08-24,18295.0
2020-08-31,17884.0
2020-09-07,22152.0
2020-09-14,22956.0
2020-09-21,22416.0
2020-09-28,22538.0
2020-10-05,22744.0
2020-10-12,23130.0
2020-10-19,23357.0
2020-10-26,21914.0
2020-11-02,23093.0
2020-11-09,25041.0
2020-11-16,23173.0
2020-11-23,23703.0
2020-11-30,25293.0
2020-12-07,24615.0
2020-12-14,24312.0
2020-12-21,23926.0
2020-12-28,24020.0
2021-01-04,25942.0
2021-01-11,27280.0
2021-01-18,26750.0
2021-01-25,27760.0
2021-02-01,27601.0
2021-02-08,27745.0
2021-02-15,27361.0
2021-02-22,27126.0
2021-03-01,26997.0
2021-03-08,28059.0
2021-03-15,27941.0
2021-03-22,27878.0
2021-03-29,28113.0
2021-04-05,28079.0
2021-04-12,28042.0
2021-04-19,28030.0
2021-04-26,28033.0
2021-05-03,28094.0
2021-05-10,28101.0
2021-05-17,28109.0
2021-05-24,28014.0
2021-05-31,28107.0
2021-06-07,28127.0
2021-06-14,27994.0
2021-06-21,28033.0
2021-06-28,27915.0
2021-07-05,27892.0
2021-07-12,27851.0
2021-07-19,27866.0
2021-07-26,27884.0
2021-08-02,27883.0
2021-08-09,40922.0
2021-08-16,40626.0
2021-08-23,40680.0
2021-08-30,41518.0
2021-09-06,40969.0
2021-09-13,41020.0
2021-09-20,40629.0
2021-09-27,40179.0
2021-10-04,40352.0
2021-10-11,40811.0
2021-10-18,40835.0
2021-10-25,40244.0
2021-11-01,41193.0
2021-11-08,40996.0
2021-11-15,40232.0
2021-11-22,39910.0
2021-11-29,40098.0
2021-12-06,40984.0
2021-12-13,40790.0
2021-12-20,41277.0
2021-12-27,41778.0
2022-01-03,42279.0
2022-01-10,42416.0
2022-01-17,41879.0
2022-01-24,41271.0
2022-01-31,40716.0
2022-02-07,40745.0
2022-02-14,40122.0
2022-02-21,40000.0
2022-02-28,40453.0
2022-03-07,40370.0
2022-03-14,40346.0
2022-03-21,40274.0
2022-03-28,39301.0
2022-04-04,52586.0
2022-04-11,64902.0
2022-04-18,78079.0
2022-04-25,86823.0
2022-05-02,101383.0
2022-05-09,100617.0
2022-05-16,96106.0
2022-05-23,100896.0
2022-05-30,99903.0
2022-06-06,97116.0
2022-06-13,93250.0
2022-06-20,97308.0
2022-06-27,91927.0
2022-07-04,90168.0
2022-07-11,91004.0
2022-07-18,92101.0
2022-07-25,93773.0
2022-08-01,92675.0
2022-08-08,95462.0
2022-08-15,91334.0
2022-08-22,87468.0
2022-08-29,86197.0
2022-09-05,87886.0
2022-09-12,84455.0
2022-09-19,81947.0
2022-09-26,91449.0
2022-10-03,101359.0
2022-10-10,119884.0
2022-10-17,122953.0
2022-10-24,129557.0
2022-10-31,130976.0
2022-11-07,143110.0
2022-11-14,138737.0
2022-11-21,144269.0
2022-11-28,143747.0
2022-12-05,140706.0
2022-12-12,136710.0
2022-12-19,135493.0
2022-12-26,131815.0
2023-01-02,129643.0
2023-01-09,130136.0
2023-01-16,127529.0
2023-01-23,131265.0
2023-01-30,131034.0
2023-02-06,129470.0
2023-02-13,141566.0
2023-02-20,138477.0
2023-02-27,150735.0
2023-03-06,151859.0
2023-03-13,161469.0
2023-03-20,171383.0
2023-03-27,190629.0
2023-04-03,196494.0
2023-04-10,194246.0
2023-04-17,194001.0
2023-04-24,193903.0
2023-05-01,178851.0
2023-05-08,183940.0
2023-05-15,195338.0
2023-05-22,198378.0
2023-05-29,215334.0
2023-06-05,216772.0
2023-06-12,224590.0
2023-06-19,216647.0
2023-06-26,198447.0
2023-07-03,212044.0
2023-07-10,222319.0
2023-07-17,240531.0
2023-07-24,235737.0
2023-07-31,236173.0
