Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,53.340000,53.419998,52.250000,52.849998,41.922955,13894900
2019-04-29,52.919998,54.330002,52.779999,54.080002,42.898651,30043600
2019-05-06,53.720001,54.099998,52.389999,53.419998,42.375103,27014800
2019-05-13,52.939999,53.439999,51.790001,52.270000,41.462872,25233500
2019-05-20,52.029999,53.009998,51.160000,51.770000,41.413322,21619000
2019-05-27,51.840000,52.279999,49.310001,49.340000,39.469456,21079200
2019-06-03,49.520000,52.099998,49.520000,51.970001,41.573315,24145600
2019-06-10,52.099998,53.259998,51.650002,52.570000,42.053299,18966200
2019-06-17,52.570000,53.930000,52.130001,52.450001,41.957298,35176100
2019-06-24,52.349998,55.189999,51.459999,54.669998,43.733181,43751600
2019-07-01,55.360001,55.680000,54.189999,55.189999,44.149158,18940700
2019-07-08,55.169998,56.950001,54.889999,55.740002,44.589130,23541900
2019-07-15,55.959999,56.160000,53.820000,54.439999,43.549202,20316600
2019-07-22,54.660000,55.250000,53.660000,55.049999,44.037167,18609500
2019-07-29,55.090000,55.770000,53.070000,53.680000,42.941231,22654200
2019-08-05,53.470001,53.590000,50.090000,52.790001,42.229282,26068600
2019-08-12,52.779999,53.900002,49.119999,50.480000,40.381401,25799300
2019-08-19,50.630001,51.669998,49.139999,49.320000,39.453461,21119800
2019-08-26,49.980000,51.189999,49.029999,51.189999,41.324291,19771100
2019-09-02,51.250000,52.799999,50.040001,52.560001,42.430260,15027800
2019-09-09,52.650002,58.099998,52.650002,55.990002,45.199207,33983500
2019-09-16,55.349998,55.939999,53.919998,55.000000,44.400002,27595300
2019-09-23,54.939999,55.090000,53.230000,54.410000,43.923714,19811700
2019-09-30,54.610001,55.869999,51.570000,52.970001,42.761234,20579500
2019-10-07,52.830002,54.599998,51.860001,53.990002,43.584663,21431500
2019-10-14,53.740002,56.169998,53.169998,55.299999,44.642178,18358300
2019-10-21,55.150002,55.570000,53.549999,55.419998,44.739063,21847200
2019-10-28,56.040001,57.709999,54.000000,57.380001,46.321316,32929200
2019-11-04,57.900002,64.500000,57.880001,59.240002,47.822838,68403300
2019-11-11,62.639999,63.240002,61.209999,62.139999,50.163933,45738200
2019-11-18,62.070000,62.380001,60.410000,60.599998,49.285160,22177900
2019-11-25,60.689999,61.049999,58.939999,59.599998,48.471870,18525000
2019-12-02,59.299999,59.919998,57.730000,58.630001,47.682980,21569300
2019-12-09,58.529999,59.279999,57.689999,57.880001,47.073021,17801500
2019-12-16,58.180000,58.980000,56.759998,58.389999,47.487793,29417100
2019-12-23,58.709999,59.029999,58.279999,59.020000,48.000160,12672300
2019-12-30,59.090000,59.599998,58.180000,59.080002,48.048965,17162400
2020-01-06,59.040001,59.779999,54.060001,54.220001,44.096394,42958400
2020-01-13,54.200001,54.790001,53.820000,54.410000,44.250923,23503200
2020-01-20,54.389999,54.389999,51.889999,52.040001,42.323429,21053800
2020-01-27,51.549999,52.990002,50.660000,50.849998,41.355614,23712500
2020-02-03,51.040001,54.250000,50.919998,53.240002,43.299370,23228100
2020-02-10,53.290001,54.529999,52.740002,52.849998,42.982185,22566500
2020-02-17,52.410000,52.700001,51.270000,51.450001,41.843594,15625300
2020-02-24,50.779999,51.330002,44.610001,45.759998,37.541325,43577500
2020-03-02,45.919998,50.840000,45.470001,50.509998,41.438206,47888200
2020-03-09,48.029999,50.779999,40.520000,46.189999,37.894093,54552200
2020-03-16,41.840000,54.230000,41.500000,46.419998,38.082779,57695800
2020-03-23,46.560001,47.709999,41.000000,44.000000,36.097431,46649700
2020-03-30,44.590000,47.470001,39.410000,40.720001,33.406528,48598000
2020-04-06,41.900002,44.419998,41.189999,43.980000,36.081020,30868600
2020-04-13,43.790001,46.450001,42.389999,44.500000,36.507614,29363800
2020-04-20,44.160000,44.540001,41.709999,43.740002,35.884125,24876600
2020-04-27,43.779999,45.639999,41.400002,41.660000,34.177696,32428900
2020-05-04,41.700001,43.529999,40.410000,41.669998,34.185898,34006000
2020-05-11,41.779999,42.180000,36.650002,38.400002,31.503208,53463200
2020-05-18,39.689999,40.970001,39.340000,39.599998,32.487682,27055600
2020-05-25,40.430000,43.700001,40.340000,42.939999,35.627151,30722500
2020-06-01,42.709999,46.369999,42.599998,45.349998,37.626717,27738600
2020-06-08,45.490002,47.380001,40.720001,41.400002,34.349426,29779000
2020-06-15,40.459999,44.500000,39.830002,44.130001,36.614491,32373100
2020-06-22,43.549999,44.230000,40.720001,41.169998,34.158585,30487600
2020-06-29,41.439999,42.770000,40.750000,41.980000,34.830639,24972300
2020-07-06,42.650002,43.810001,38.049999,40.119999,33.287403,61363800
2020-07-13,40.180000,41.889999,38.919998,41.419998,34.366016,29919600
2020-07-20,41.189999,41.509998,40.000000,40.509998,33.610992,23723600
2020-07-27,40.610001,41.259998,39.230000,40.709999,33.776924,34709300
2020-08-03,40.580002,41.610001,39.950001,41.520000,34.448978,26785800
2020-08-10,41.630001,44.049999,40.779999,41.910000,34.772564,27681200
2020-08-17,41.910000,41.970001,39.299999,39.459999,32.739803,24359300
2020-08-24,39.619999,40.189999,38.360001,38.759998,32.528702,30950100
2020-08-31,38.610001,38.709999,36.500000,36.889999,30.959335,41613200
2020-09-07,36.900002,37.220001,33.880001,34.700001,29.121416,35294700
2020-09-14,34.849998,37.279999,34.599998,36.930000,30.992905,42529000
2020-09-21,36.750000,36.869999,34.520000,35.430000,29.734056,31816900
2020-09-28,35.889999,36.520000,35.279999,35.770000,30.019396,27933800
2020-10-05,36.020000,37.590000,35.810001,36.340000,30.497755,24632400
2020-10-12,36.619999,38.220001,35.650002,37.410000,31.395733,49798200
2020-10-19,37.459999,38.080002,36.720001,38.040001,31.924452,22564800
2020-10-26,37.889999,38.029999,33.360001,34.040001,28.567516,40357900
2020-11-02,34.529999,38.169998,34.369999,37.310001,31.311817,36343100
2020-11-09,39.480000,43.759998,38.549999,42.709999,35.843674,49887300
2020-11-16,43.790001,44.869999,37.020000,37.529999,31.496445,69391500
2020-11-23,37.680000,39.240002,37.220001,39.000000,33.119068,26659200
2020-11-30,39.009998,43.669998,37.889999,43.410000,36.864071,58669300
2020-12-07,43.180000,43.330002,40.849998,41.529999,35.267563,30293100
2020-12-14,42.049999,42.139999,40.240002,40.689999,34.554226,37580900
2020-12-21,40.549999,41.020000,39.080002,39.619999,33.645576,19759300
2020-12-28,39.680000,40.340000,39.029999,39.880001,33.866371,20609200
2021-01-04,40.169998,46.709999,39.939999,45.209999,38.392647,54485100
2021-01-11,45.730000,49.660000,45.580002,48.919998,41.543198,43001400
2021-01-18,49.270000,49.270000,46.139999,47.450001,40.294868,21896300
