Date,Net Worth
2019-04-15,199653.30755952152
2019-04-22,253402.7070341626
2019-04-29,307245.3930044847
2019-05-06,343891.39862855495
2019-05-13,388948.52077254676
2019-05-20,438350.7841628138
2019-05-27,477090.596863789
2019-06-03,545781.6539056896
2019-06-10,568830.2102548077
2019-06-17,658807.3375136305
2019-06-24,705046.1655722365
2019-07-01,775942.8970318089
2019-07-08,811920.2778570123
2019-07-15,749597.7556278786
2019-07-22,841186.6556971103
2019-07-29,803660.15248356
2019-08-05,830476.8052432198
2019-08-12,864587.7854220619
2019-08-19,884374.178957563
2019-08-26,939096.7178455265
2019-09-02,977235.0529627404
2019-09-09,1037627.2057483466
2019-09-16,1011005.3733389127
2019-09-23,1033229.79595905
2019-09-30,1115848.6182887368
2019-10-07,1201709.1282989453
2019-10-14,1219764.659237977
2019-10-21,1273755.3956534818
2019-10-28,1363973.2550729264
2019-11-04,1432648.9234078573
2019-11-11,1448517.5764096098
2019-11-18,1519376.375881086
2019-11-25,1538547.1885496574
2019-12-02,1505021.1510023149
2019-12-09,1464432.1339533078
2019-12-16,1640547.0440615907
2019-12-23,1585703.0949353452
2019-12-30,1552221.9384356188
2020-01-06,1547253.6403565074
2020-01-13,1594105.8592382441
2020-01-20,1634555.9382357341
2020-01-27,1580317.3904438051
2020-02-03,1654499.989638802
2020-02-10,1693327.0033034321
2020-02-17,1672831.522290799
2020-02-24,1607906.272985712
2020-03-02,1607660.446936715
2020-03-09,1454680.1296369147
2020-03-16,1440660.6200253598
2020-03-23,1538797.1913464472
2020-03-30,1557543.7954224283
2020-04-06,1593743.9809393617
2020-04-13,1804804.1627411908
2020-04-20,1793858.9707523214
2020-04-27,1755027.1320818579
2020-05-04,1836046.6350021935
2020-05-11,1910514.3245079028
2020-05-18,1811157.5823043538
2020-05-25,1772845.1194226737
2020-06-01,1772325.74363389
2020-06-08,1766213.3292078038
2020-06-15,1889477.9774701325
2020-06-22,1829519.6889207345
2020-06-29,1941267.8436255641
2020-07-06,2200032.980255732
2020-07-13,1967127.9975005628
2020-07-20,1919538.118666156
2020-07-27,1951530.3873483576
2020-08-03,1973731.469098306
2020-08-10,1928001.0143421316
2020-08-17,1964547.3919454042
2020-08-24,2084395.2244231415
2020-08-31,2054641.9078711926
2020-09-07,1925534.252781378
2020-09-14,1879727.9349193913
2020-09-21,1928760.0704461713
2020-09-28,2005344.2097284878
2020-10-05,2143408.246392288
2020-10-12,2110580.948443702
2020-10-19,1949253.332887822
2020-10-26,1901663.3364067776
2020-11-02,2049632.4077922888
2020-11-09,1928608.2341780148
2020-11-16,1949101.4966196655
2020-11-23,1960942.0424335382
2020-11-30,1987317.7088475905
2020-12-07,2005951.4295643712
2020-12-14,2124470.970785831
2020-12-21,2046748.13349587
2020-12-28,2148303.7810350955
2021-01-04,2033199.8822252841
2021-01-11,1986065.3907536569
2021-01-18,2241054.8832684923
2021-01-25,2116653.1733679054
2021-02-01,2186482.0047843223
2021-02-08,2208227.8168181283
2021-02-15,2146368.2699429346
2021-02-22,2141169.066558866
2021-03-01,2055932.328295409
2021-03-08,2062118.283362434
2021-03-15,2039955.0724445465
2021-03-22,2024281.4853349442
2021-03-29,2143332.2732299436
2021-04-05,2203635.7194183585
2021-04-12,2170353.0303119402
2021-04-19,2014793.8532923667
2021-04-26,2092859.3994972545
2021-05-03,2055410.9883089361
2021-05-10,2062654.169626908
2021-05-17,2128582.098638703
2021-05-24,2196531.5523526026
2021-05-31,2210629.741022301
2021-06-07,2185109.301277218
2021-06-14,2236406.659006471
2021-06-21,2348833.444975786
2021-06-28,2378372.0580491587
2021-07-05,2386921.617670701
2021-07-12,2362683.6930896654
