Date,RSI,Moving Average
2019-04-22,0.0,0.0
2019-04-29,0.0,0.0
2019-05-06,0.0,0.0
2019-05-13,0.0,0.0
2019-05-20,0.0,0.0
2019-05-27,0.0,0.0
2019-06-03,0.0,0.0
2019-06-10,0.0,0.0
2019-06-17,0.0,0.0
2019-06-24,0.0,0.0
2019-07-01,0.0,6.397
2019-07-08,0.0,11.801
2019-07-15,0.0,17.122
2019-07-22,0.0,22.058
2019-07-29,57.576,26.799
2019-08-05,48.636,32.991
2019-08-12,47.884,38.766
2019-08-19,44.424,45.394
2019-08-26,42.669,51.712
2019-09-02,55.728,50.785
2019-09-09,51.981,50.247
2019-09-16,59.65,49.952
2019-09-23,56.859,50.832
2019-09-30,49.233,51.761
2019-10-07,43.792,52.238
2019-10-14,45.232,53.863
2019-10-21,52.342,56.026
2019-10-28,51.035,58.336
2019-11-04,60.022,60.813
2019-11-11,66.598,63.266
2019-11-18,79.121,64.434
2019-11-25,77.647,65.353
2019-12-02,71.531,66.838
2019-12-09,65.865,68.044
2019-12-16,55.745,66.269
2019-12-23,60.614,62.749
2019-12-30,64.397,58.719
2020-01-06,70.882,54.4
2020-01-13,50.623,50.915
2020-01-20,47.435,47.214
2020-01-27,41.378,42.993
2020-02-03,32.661,37.8
2020-02-10,34.504,33.688
2020-02-17,22.433,31.36
2020-02-24,22.621,29.309
2020-03-02,17.664,27.51
2020-03-09,33.876,26.39
2020-03-16,29.67,26.327
2020-03-23,28.978,27.681
2020-03-30,25.182,29.216
2020-04-06,22.581,31.188
2020-04-13,33.94,30.771
2020-04-20,34.617,30.521
2020-04-27,36.438,30.786
2020-05-04,35.408,33.011
2020-05-11,30.127,35.0
2020-05-18,27.415,35.789
2020-05-25,31.362,37.063
2020-06-01,45.211,38.041
2020-06-08,40.48,39.919
2020-06-15,41.04,41.299
2020-06-22,46.083,43.167
2020-06-29,45.247,44.57
2020-07-06,52.308,44.89
2020-07-13,42.548,45.916
2020-07-20,44.228,47.764
2020-07-27,43.981,48.167
2020-08-03,48.096,47.614
2020-08-10,49.709,45.113
2020-08-17,57.674,44.0
2020-08-24,49.71,42.5
2020-08-31,40.27,41.317
2020-09-07,29.799,39.469
2020-09-14,32.534,38.143
2020-09-21,30.728,35.827
2020-09-28,33.333,34.942
2020-10-05,31.463,34.047
2020-10-12,37.775,35.188
2020-10-19,36.835,37.299
2020-10-26,41.739,39.07
2020-11-02,32.213,40.966
2020-11-09,40.075,44.149
2020-11-16,51.526,46.695
2020-11-23,46.667,48.841
2020-11-30,50.404,50.532
2020-12-07,60.105,53.268
2020-12-14,60.689,55.786
2020-12-21,56.152,57.324
2020-12-28,56.953,59.06
2021-01-04,56.839,61.443
2021-01-11,62.741,62.347
2021-01-18,65.367,62.607
2021-01-25,62.288,64.366
2021-02-01,71.852,65.56
2021-02-08,68.243,65.777
2021-02-15,63.031,66.888
2021-02-22,71.983,67.762
2021-03-01,67.697,69.16
2021-03-08,58.794,69.746
2021-03-15,72.741,69.919
2021-03-22,73.226,69.698
2021-03-29,74.87,68.917
2021-04-05,77.125,67.946
2021-04-12,69.801,68.52
2021-04-19,61.049,67.45
2021-04-26,64.949,67.076
2021-05-03,58.957,65.91
2021-05-10,63.964,65.269
2021-05-17,63.113,64.013
2021-05-24,69.855,62.201
2021-05-31,64.377,60.582
2021-06-07,71.357,57.583
2021-06-14,58.495,53.991
2021-06-21,44.74,50.398
2021-06-28,50.383,46.311
2021-07-05,31.963,43.037
2021-07-12,31.633,38.412
2021-07-19,30.781,35.988
2021-07-26,33.073,34.845
2021-08-02,34.906,33.587
2021-08-09,29.733,34.59
2021-08-16,36.677,35.089
2021-08-23,34.452,36.821
2021-08-30,39.069,37.43
2021-09-06,40.983,38.576
2021-09-13,36.127,40.816
2021-09-20,46.373,43.423
2021-09-27,38.548,46.14
2021-10-04,45.22,47.307
2021-10-11,49.894,49.247
2021-10-18,60.14,50.871
2021-10-25,58.904,50.875
2021-11-01,49.573,51.405
2021-11-08,58.442,50.391
2021-11-15,50.743,50.418
2021-11-22,46.413,49.063
2021-11-29,43.316,48.707
2021-12-06,36.098,50.304
2021-12-13,50.137,51.132
2021-12-20,47.944,52.603
2021-12-27,55.696,53.929
2022-01-03,63.944,55.581
2022-01-10,65.896,56.674
2022-01-17,63.981,56.415
2022-01-24,58.349,56.534
2022-01-31,58.183,55.993
2022-02-07,45.939,54.794
2022-02-14,47.806,52.321
2022-02-21,49.009,50.238
2022-02-28,50.833,48.0
2022-03-07,53.15,44.176
2022-03-14,43.642,41.648
2022-03-21,45.234,38.565
2022-03-28,38.202,36.059
2022-04-04,23.767,33.147
2022-04-11,23.185,31.156
2022-04-18,20.063,30.069
2022-04-25,26.455,28.69
2022-05-02,24.622,29.265
2022-05-09,35.234,30.753
2022-05-16,33.856,32.022
2022-05-23,32.827,33.251
2022-05-30,43.374,34.568
2022-06-06,37.164,36.12
2022-06-13,34.603,35.832
2022-06-20,31.127,35.955
2022-06-27,38.307,36.159
2022-07-04,38.587,36.133
2022-07-11,32.642,36.12
2022-07-18,34.96,37.027
2022-07-25,34.67,38.372
2022-08-01,43.139,37.498
2022-08-08,37.047,36.566
2022-08-15,42.766,36.964
2022-08-22,43.231,37.158
2022-08-29,30.441,36.154
2022-09-05,30.196,34.497
2022-09-12,36.227,33.541
2022-09-19,36.704,32.911
2022-09-26,25.635,32.387
2022-10-03,28.224,33.728
2022-10-10,28.449,35.399
2022-10-17,37.089,37.093
2022-10-24,38.514,38.959
2022-10-31,42.512,43.123
2022-11-07,45.238,47.183
2022-11-14,51.473,50.68
2022-11-21,53.495,53.409
2022-11-28,63.114,56.338
2022-12-05,64.765,58.882
2022-12-12,59.924,61.172
2022-12-19,61.647,62.189
2022-12-26,64.872,62.333
2023-01-02,65.408,61.087
2023-01-09,65.851,59.454
2023-01-16,60.624,56.066
2023-01-23,54.788,53.135
2023-01-30,51.902,47.944
2023-02-06,50.066,43.015
2023-02-13,29.432,37.662
2023-02-20,35.271,33.091
2023-02-27,18.152,29.215
2023-03-06,21.053,27.527
2023-03-13,17.674,27.097
2023-03-20,19.483,28.658
2023-03-27,19.898,29.967
2023-04-03,36.711,32.331
2023-04-10,46.196,33.284
2023-04-17,43.482,34.468
2023-04-24,47.053,35.45
2023-05-01,39.427,36.311
2023-05-08,29.636,35.82
2023-05-15,28.323,35.334
2023-05-22,28.323,35.948
2023-05-29,27.645,35.728
2023-06-05,32.298,34.526
2023-06-12,41.815,34.067
2023-06-19,49.012,33.916
2023-06-26,45.076,34.48
2023-07-03,28.602,34.963
2023-07-10,25.513,35.87
2023-07-17,26.958,35.95
2023-07-24,33.402,34.195
2023-07-31,31.989,32.874
2023-08-07,40.462,32.335
2023-08-14,42.535,31.779
2023-08-21,33.215,30.586
2023-08-28,33.192,28.673
2023-09-04,23.748,28.085
2023-09-11,20.513,26.083
2023-09-18,16.216,24.644
2023-09-25,16.184,23.168
2023-10-02,26.696,21.776
2023-10-09,22.449,21.945
2023-10-16,29.581,22.331
2023-10-23,19.935,23.998
2023-10-30,20.664,25.906
2023-11-06,25.271,27.218
2023-11-13,23.985,30.803
2023-11-20,31.215,34.173
2023-11-27,33.358,39.576
2023-12-04,38.502,44.524
2023-12-11,54.714,48.599
2023-12-18,59.914,51.497
2023-12-25,68.559,53.901
2024-01-01,65.2,56.443
2024-01-08,61.94,57.948
2024-01-15,50.073,58.11
2024-01-22,52.851,57.366
2024-01-29,56.236,55.722
2024-02-05,52.046,54.361
2024-02-12,56.167,51.903
2024-02-19,53.22,48.898
2024-02-26,53.767,44.313
2024-03-04,52.951,40.675
2024-03-11,39.817,37.115
2024-03-18,23.03,33.206
2024-03-25,11.58,30.379
2024-04-01,23.501,26.425
2024-04-08,20.0,23.109
2024-04-15,20.985,20.722
2024-04-22,27.778,20.338
2024-04-25,18.182,22.089
